aX,aY,aZ,label
1.53,-9.0,0.18,running
0.2,1.36,-4.08,walking
4.36,9.88,-0.83,running
-1.0,11.97,-2.12,running
-1.64,0.37,3.07,walking
-0.16,3.22,2.97,walking
-0.84,-4.17,12.01,walking
-0.04,0.0,0.01,resting
-0.01,0.0,-0.03,resting
-8.19,6.17,-18.84,running
-0.8,13.34,-0.49,running
0.0,0.0,-0.03,resting
-0.01,-0.02,-0.07,resting
